Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.9274740802, 2.22313931605;48.92747408021807;2.2231393160549553
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8596237163, 2.43834898977;48.859623716327974;2.4383489897739583
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8390503202, 2.24601723956;48.839050320187475;2.246017239564007
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8390503202, 2.24601723956;48.839050320187475;2.246017239564007
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8232005029, 2.30777252747;48.823200502897365;2.3077725274735896
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8603866338, 2.43953551326;48.8603866337713;2.4395355132639738
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8590759895, 2.47387088142;48.859075989520655;2.473870881419788
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8590759895, 2.47387088142;48.859075989520655;2.473870881419788
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8232005029, 2.30777252747;48.823200502897365;2.3077725274735896
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.9208376863, 2.26371037801;48.92083768631448;2.263710378006438
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8275010314, 2.273262484;48.82750103140714;2.273262483998071
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8273844109, 2.27367100091;48.82738441088453;2.273671000910632
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8923872894, 2.25408742608;48.8923872893968;2.254087426083414
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8596237163, 2.43834898977;48.859623716327974;2.4383489897739583
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8188761382, 2.41110364289;48.81887613822739;2.411103642894185
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8189930543, 2.41098131711;48.818993054291774;2.4109813171069656
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8588898067, 2.50684617351;48.858889806676146;2.5068461735062857
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8877102002, 2.2778762809;48.88771020024983;2.2778762809004243
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8877102002, 2.2778762809;48.88771020024983;2.2778762809004243
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8927552185, 2.25330994792;48.89275521853061;2.25330994792054
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.9275638578, 2.2230436468;48.92756385783419;2.2230436468024224
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.9275638578, 2.2230436468;48.92756385783419;2.2230436468024224
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8739008976, 2.22212638722;48.873900897634535;2.2221263872228336
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8590759895, 2.47387088142;48.859075989520655;2.473870881419788
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8917401753, 2.25403394712;48.891740175295716;2.254033947115366
